Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
"    sp|Q8SQK0|PRS8_ENCCU ***- 26S protease regulatory subunit 8 homolog IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf03842g00011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q8SQK0|PRS8_ENCCU ***- 26S protease regulatory subunit 8 homolog IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf01085g02014.1,3,3,4,4,1,3,4,3,4,2,4,3,6,5,4,2,0,6,3,2,1,4,3,1,5,4,4,1,4,2,4,4,4,2,2,3,4,3,3,2,1,1,2,1,5,2,5,2,4,2,3,2,3,6,2,3,,3,2,3,1,3,5,2,2,3,3,2,3,2,3,4,4
"    sp|P62194|PRS8_BOVIN ***- 26S protease regulatory subunit 8 IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf08091g00018.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P62191|PRS4_HUMAN ***- 26S protease regulatory subunit 4 IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf01515g07011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P62191|PRS4_HUMAN ***- 26S protease regulatory subunit 4 IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf04103g07019.1,1,0,1,0,,2,2,0,3,1,1,2,4,2,0,,0,2,0,2,1,,1,,2,2,2,1,1,,0,1,1,0,2,1,0,1,1,,,,,0,2,1,1,1,1,,1,1,3,2,2,1,,,,2,0,1,0,1,1,1,,,,,1,1,
"    sp|P36612|PRS4_SCHPO ***- 26S protease regulatory subunit 4 homolog IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf00369g09017.1 (+1),2,2,2,2,,2,3,,3,1,1,1,5,1,0,,2,4,1,5,,,4,0,2,3,3,1,1,0,2,3,4,1,1,0,1,2,,,,,,,4,7,1,0,0,,1,,0,1,1,2,,,,4,1,,5,,1,2,1,0,,1,0,1,0
"    sp|P36612|PRS4_SCHPO ***- 26S protease regulatory subunit 4 homolog IPR003959 (ATPase, AAA-type, core), IPR005937 (26S proteasome subunit P45), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0005737 (cytoplasm), GO:0016787 (hydrolase activity), GO:0030163 (protein catabolic process)",Niben101Scf04300g05005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P33299|PRS7_YEAST *-*- 26S protease regulatory subunit 7 homolog IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf21584g00007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|O64982|PRS7_PRUPE *-*- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf13141g02001.1,,,,,,,0,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,1,0,,2,,1,,,,1,,,,,,,,,2,,,,,,,,,,
"    sp|O64982|PRS7_PRUPE ***- 26S protease regulatory subunit 7 IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf05300g02013.1,1,3,5,4,1,0,3,3,1,3,2,3,10,9,2,2,2,5,1,5,1,1,1,0,6,3,3,0,3,1,1,2,1,1,0,2,2,2,2,1,0,1,0,2,6,1,2,1,2,2,2,4,3,2,1,3,,2,0,4,1,1,2,2,4,1,3,3,0,,3,1,2
"    sp|O42931|PRS7_SCHPO *-*- 26S protease regulatory subunit 7 homolog IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf06625g02002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|D0MGU8|FTSH_RHOM4 *-** ATP-dependent zinc metalloprotease FtsH IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf06507g00015.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|B2UMY1|FTSH_AKKM8 *-** ATP-dependent zinc metalloprotease FtsH IPR003959 (ATPase, AAA-type, core), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding)",Niben101Scf04432g00008.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q61171|PRDX2_MOUSE **** Peroxiredoxin-2 IPR012336 (Thioredoxin-like fold) GO:0016209 (antioxidant activity), GO:0016491 (oxidoreductase activity), GO:0051920 (peroxiredoxin activity), GO:0055114 (oxidation-reduction process) (Niben101Scf08020g01012.1)",Niben101Scf08020g01012.1 [2],45,44,44,40,38,32,35,32,28,35,35,49,45,47,39,35,39,30,43,25,32,42,33,25,38,32,32,46,47,33,38,41,28,42,40,44,46,41,46,33,32,25,38,36,36,30,36,31,39,42,44,35,36,36,28,38,46,37,45,36,42,38,35,40,44,44,30,40,37,35,36,30,28
"    sp|Q61171|PRDX2_MOUSE **** Peroxiredoxin-2 IPR012336 (Thioredoxin-like fold) GO:0016209 (antioxidant activity), GO:0016491 (oxidoreductase activity), GO:0051920 (peroxiredoxin activity), GO:0055114 (oxidation-reduction process)",Niben101Scf08020g01012.1,45,44,44,40,38,32,35,32,28,35,35,49,45,47,39,35,39,30,43,25,32,42,33,25,38,32,32,46,47,33,38,41,28,42,40,44,46,41,46,33,32,25,38,36,36,30,36,31,39,42,44,35,36,36,28,38,46,37,45,36,42,38,35,40,44,44,30,40,37,35,36,30,28
"    sp|Q61171|PRDX2_MOUSE **** Peroxiredoxin-2 IPR012336 (Thioredoxin-like fold) GO:0016209 (antioxidant activity), GO:0016491 (oxidoreductase activity), GO:0051920 (peroxiredoxin activity), GO:0055114 (oxidation-reduction process)",Niben101Scf04717g03004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|Q61171|PRDX2_MOUSE **** Peroxiredoxin-2 IPR012336 (Thioredoxin-like fold) GO:0016209 (antioxidant activity), GO:0016491 (oxidoreductase activity), GO:0051920 (peroxiredoxin activity), GO:0055114 (oxidation-reduction process)",Niben101Scf12674g00009.1,31,30,25,27,26,20,30,24,17,25,28,40,27,33,32,27,26,20,28,14,26,36,23,21,27,27,27,23,30,24,23,15,18,34,27,24,29,20,24,25,23,22,34,26,21,21,28,17,26,30,27,25,22,24,21,27,32,28,30,28,29,28,26,33,27,30,24,26,22,23,20,23,21
"Cluster of sp|Q61011|GBB3_MOUSE **** Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 IPR015943 (WD40/YVTN repeat-like-containing domain), IPR020472 (G-protein beta WD-40 repeat) GO:0005515 (protein binding) (Niben101Scf02401g01001.1)",Niben101Scf02401g01001.1 [2],1,3,10,5,3,6,6,3,4,2,6,11,5,7,5,1,2,3,6,5,4,3,8,0,11,9,9,5,8,1,4,4,6,3,2,5,3,3,8,3,1,3,3,8,9,3,2,5,9,6,7,7,6,8,2,8,,2,0,5,4,4,8,7,7,6,5,3,0,3,5,5,4
    sp|Q61011|GBB3_MOUSE --** Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 IPR015943 (WD40/YVTN repeat-like-containing domain) GO:0005515 (protein binding),Niben101Scf13335g00006.1,1,3,4,3,3,5,4,3,2,1,3,5,1,4,3,1,1,1,3,3,3,2,6,,5,3,3,3,4,1,2,2,3,2,1,4,2,3,5,3,1,2,3,4,5,0,2,3,5,4,4,5,4,4,1,5,,,,1,1,3,4,5,3,3,3,2,0,,3,3,3
"    sp|Q61011|GBB3_MOUSE **** Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 IPR015943 (WD40/YVTN repeat-like-containing domain), IPR020472 (G-protein beta WD-40 repeat) GO:0005515 (protein binding)",Niben101Scf02401g01001.1,0,1,9,3,1,4,5,1,3,2,5,9,5,6,4,,1,3,5,3,2,2,6,0,10,9,9,3,7,0,3,4,5,2,1,3,1,1,6,2,1,2,1,7,7,3,1,4,7,5,6,5,4,7,1,5,,2,0,4,3,2,7,5,7,5,3,3,0,3,4,5,3
"Cluster of sp|Q58860|THRC_METJA ***- Threonine synthase IPR001926 (Tryptophan synthase beta subunit-like PLP-dependent enzyme), IPR004450 (Threonine synthase-like) GO:0006520 (cellular amino acid metabolic process), GO:0030170 (pyridoxal phosphate binding) (Niben101Scf00870g15008.1)",Niben101Scf00870g15008.1 [4],4,4,9,4,1,6,4,2,6,6,7,9,11,7,4,0,5,6,8,5,1,8,4,0,8,10,10,2,7,1,5,4,6,0,3,5,4,2,8,2,1,3,5,5,7,4,7,5,6,4,5,4,9,5,3,7,2,3,4,7,4,4,7,10,8,5,2,6,2,2,3,1,1
"    sp|Q58860|THRC_METJA *-*- Threonine synthase IPR001926 (Tryptophan synthase beta subunit-like PLP-dependent enzyme), IPR004450 (Threonine synthase-like) GO:0006520 (cellular amino acid metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf13950g00010.1,4,4,8,4,1,6,4,2,6,6,7,8,11,7,4,,4,6,7,5,1,8,4,0,8,10,10,2,7,1,4,4,6,0,3,5,4,2,8,2,1,3,5,5,7,4,7,5,6,4,5,3,8,5,3,7,2,3,4,7,4,4,7,9,8,5,1,6,2,2,3,1,1
"    sp|Q58860|THRC_METJA ***- Threonine synthase IPR001926 (Tryptophan synthase beta subunit-like PLP-dependent enzyme), IPR004450 (Threonine synthase-like) GO:0006520 (cellular amino acid metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf00870g15008.1,4,,9,4,,6,,,6,6,7,9,11,7,4,,5,6,8,4,,8,,,8,10,10,,7,,5,4,5,,,,,2,8,,,,,5,7,4,7,5,6,4,5,,9,5,,7,,,4,7,3,,7,9,8,5,2,6,,,,1,
"    sp|Q58860|THRC_METJA ***- Threonine synthase IPR001926 (Tryptophan synthase beta subunit-like PLP-dependent enzyme), IPR004450 (Threonine synthase-like) GO:0006520 (cellular amino acid metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf00747g02003.1,1,3,5,3,1,3,3,2,3,4,3,6,8,5,2,,4,4,6,2,1,5,2,0,6,5,5,1,3,,4,3,3,0,2,2,3,2,5,2,1,3,4,3,2,3,4,3,3,2,4,2,5,2,1,4,2,2,3,4,1,2,5,6,5,3,2,4,2,2,2,1,1
"    sp|Q58860|THRC_METJA ***- Threonine synthase IPR001926 (Tryptophan synthase beta subunit-like PLP-dependent enzyme), IPR004450 (Threonine synthase-like) GO:0006520 (cellular amino acid metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf04018g09004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|Q58321|Y911_METJA *-** Magnesium-chelatase subunit ChlI homolog IPR000523 (Magnesium chelatase, ChlI subunit), IPR002035 (von Willebrand factor, type A), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0015979 (photosynthesis), GO:0015995 (chlorophyll biosynthetic process), GO:0016851 (magnesium chelatase activity)",Niben101Scf01209g04002.1,3,5,4,2,2,4,2,1,3,1,3,6,4,3,4,4,4,2,3,4,3,2,3,1,6,5,5,2,4,3,5,3,2,4,2,4,6,3,3,2,0,1,2,3,5,1,4,2,3,2,2,2,5,3,1,5,,0,4,5,3,4,2,2,4,4,2,1,0,1,3,2,
"Cluster of sp|Q57242|UUP1_HAEIN **** ABC transporter ATP-binding protein uup-1 IPR003439 (ABC transporter-like), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0016887 (ATPase activity) (Niben101Scf01472g02001.1)",Niben101Scf01472g02001.1 [2],4,5,6,4,3,1,3,1,0,2,3,3,3,4,,1,2,4,4,0,2,5,3,0,5,4,4,0,4,2,5,3,4,2,4,1,3,,3,3,2,5,2,2,6,4,4,5,3,6,3,4,0,4,2,5,0,,4,3,5,3,,3,6,8,2,3,0,0,0,2,0
"    sp|Q57242|UUP1_HAEIN **** ABC transporter ATP-binding protein uup-1 IPR003439 (ABC transporter-like), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0016887 (ATPase activity)",Niben101Scf01472g02001.1,4,5,6,4,3,1,3,1,0,2,2,3,3,4,,1,2,4,4,0,2,5,3,0,5,4,4,,4,2,5,3,4,2,4,1,3,,3,3,2,5,2,2,6,3,4,5,3,5,3,4,0,4,2,5,,,4,3,5,3,,3,6,6,2,3,0,0,0,2,0
"    sp|P43672|UUP_ECOLI **** ABC transporter ATP-binding protein uup IPR003439 (ABC transporter-like), IPR027417 (P-loop containing nucleoside triphosphate hydrolase) GO:0005524 (ATP binding), GO:0016887 (ATPase activity)",Niben101Scf03538g02003.1,2,5,5,2,3,1,3,,0,2,3,3,2,2,,1,1,3,4,,2,4,2,0,5,2,2,,4,2,4,3,3,2,3,1,2,,3,3,1,3,2,2,5,2,3,4,3,5,2,3,0,3,2,4,,,4,2,3,3,,2,5,6,2,3,,0,,2,
"Cluster of sp|Q55141|ILVH_SYNY3 *-** Acetolactate synthase small subunit IPR004789 (Acetolactate synthase, small subunit) GO:0003984 (acetolactate synthase activity), GO:0008152 (metabolic process), GO:0009082 (branched-chain amino acid biosynthetic process), GO:0016597 (amino acid binding) (Niben101Scf05721g00003.1)",Niben101Scf05721g00003.1 [4],5,7,4,5,6,4,5,4,2,2,2,6,4,8,3,3,4,2,5,2,3,2,3,1,3,7,7,3,3,0,3,1,3,1,1,4,2,2,8,3,2,3,8,1,8,1,3,4,4,5,6,1,3,5,2,3,9,0,4,2,3,4,3,6,3,3,2,7,3,3,1,4,0
"    sp|Q55141|ILVH_SYNY3 *-** Acetolactate synthase small subunit IPR004789 (Acetolactate synthase, small subunit) GO:0003984 (acetolactate synthase activity), GO:0008152 (metabolic process), GO:0009082 (branched-chain amino acid biosynthetic process), GO:0016597 (amino acid binding)",Niben101Scf05721g00003.1,5,7,4,5,6,4,5,4,2,2,2,6,4,8,3,3,4,2,5,2,3,2,3,1,3,7,7,3,3,0,3,1,3,1,1,4,2,2,8,3,2,3,8,1,8,1,3,4,4,5,6,1,3,5,2,3,9,0,4,2,3,4,3,6,3,3,2,7,3,3,1,4,0
"    sp|Q55141|ILVH_SYNY3 *-** Acetolactate synthase small subunit IPR004789 (Acetolactate synthase, small subunit) GO:0003984 (acetolactate synthase activity), GO:0008152 (metabolic process), GO:0009082 (branched-chain amino acid biosynthetic process), GO:0016597 (amino acid binding)",Niben101Scf04035g00002.1,5,7,4,5,5,4,5,4,1,2,2,6,3,8,3,3,4,2,5,2,3,2,2,1,3,7,7,3,3,,3,1,3,1,1,4,2,2,7,2,2,3,8,1,8,1,3,4,4,5,6,,3,4,2,3,8,0,4,2,3,4,3,5,3,3,2,7,3,3,1,4,0
"    sp|Q55141|ILVH_SYNY3 *-** Acetolactate synthase small subunit IPR004789 (Acetolactate synthase, small subunit) GO:0003984 (acetolactate synthase activity), GO:0008152 (metabolic process), GO:0009082 (branched-chain amino acid biosynthetic process), GO:0016597 (amino acid binding)",Niben101Scf05649g06001.1,1,1,1,2,1,1,1,1,1,1,,2,1,2,1,1,2,0,2,0,1,1,1,0,1,1,1,1,1,,0,1,0,1,0,1,1,0,,1,0,1,2,0,0,0,1,0,0,1,3,,1,1,0,1,1,,1,,1,2,1,0,1,0,1,2,1,2,0,1,0
"    sp|Q9TLY1|ILVH_CYACA **** Acetolactate synthase small subunit IPR004789 (Acetolactate synthase, small subunit) GO:0003984 (acetolactate synthase activity), GO:0008152 (metabolic process), GO:0009082 (branched-chain amino acid biosynthetic process), GO:0016597 (amino acid binding)",Niben101Scf00751g04010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|Q55087|CHLP_SYNY3 **** Geranylgeranyl diphosphate reductase IPR003042 (Aromatic-ring hydroxylase-like), IPR016040 (NAD(P)-binding domain), IPR023753 (Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process) (Niben101Scf06249g03002.1)",Niben101Scf06249g03002.1 [4],30,34,30,30,29,21,37,20,14,24,28,39,32,47,30,24,29,25,37,21,24,33,32,15,31,36,36,38,31,22,39,22,26,29,29,37,34,29,29,33,24,21,39,25,34,22,31,21,29,28,38,38,30,25,23,36,39,24,30,30,25,39,25,31,30,34,31,29,29,28,23,25,26
"    sp|Q55087|CHLP_SYNY3 **** Geranylgeranyl diphosphate reductase IPR003042 (Aromatic-ring hydroxylase-like), IPR016040 (NAD(P)-binding domain), IPR023753 (Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf06249g03002.1,23,30,24,24,24,19,30,18,12,21,24,32,25,42,27,20,24,22,30,17,21,29,29,12,26,32,32,33,27,20,32,17,23,22,24,33,31,25,26,29,21,18,34,21,30,18,26,18,25,24,32,33,28,21,18,29,35,22,24,25,20,33,20,26,26,28,27,27,27,24,20,22,23
"    sp|Q55087|CHLP_SYNY3 **** Geranylgeranyl diphosphate reductase IPR003042 (Aromatic-ring hydroxylase-like), IPR011777 (Geranylgeranyl reductase family), IPR016040 (NAD(P)-binding domain), IPR023753 (Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain) GO:0008152 (metabolic process), GO:0015979 (photosynthesis), GO:0015995 (chlorophyll biosynthetic process), GO:0016491 (oxidoreductase activity), GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor), GO:0045550 (geranylgeranyl reductase activity), GO:0051188 (cofactor biosynthetic process), GO:0055114 (oxidation-reduction process)",Niben101Scf00063g13014.1,26,29,27,26,25,16,32,18,9,20,23,34,26,43,25,21,24,21,32,17,21,27,29,11,26,32,32,32,27,18,34,19,22,27,23,30,29,24,24,28,20,18,34,21,31,18,25,18,23,24,33,35,26,21,20,32,32,22,24,27,22,33,23,26,26,30,27,25,23,23,20,21,24
"    sp|Q55087|CHLP_SYNY3 **** Geranylgeranyl diphosphate reductase IPR003042 (Aromatic-ring hydroxylase-like), IPR011777 (Geranylgeranyl reductase family), IPR016040 (NAD(P)-binding domain), IPR023753 (Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain) GO:0008152 (metabolic process), GO:0015979 (photosynthesis), GO:0015995 (chlorophyll biosynthetic process), GO:0016491 (oxidoreductase activity), GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor), GO:0045550 (geranylgeranyl reductase activity), GO:0051188 (cofactor biosynthetic process), GO:0055114 (oxidation-reduction process)",Niben101Scf08918g02009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q55087|CHLP_SYNY3 **** Geranylgeranyl diphosphate reductase IPR003042 (Aromatic-ring hydroxylase-like), IPR011777 (Geranylgeranyl reductase family), IPR016040 (NAD(P)-binding domain), IPR023753 (Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain) GO:0008152 (metabolic process), GO:0015979 (photosynthesis), GO:0015995 (chlorophyll biosynthetic process), GO:0016491 (oxidoreductase activity), GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor), GO:0045550 (geranylgeranyl reductase activity), GO:0051188 (cofactor biosynthetic process), GO:0055114 (oxidation-reduction process)",Niben101Scf02668g01010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|Q51876|LEP_PHOLA *-** Signal peptidase I IPR000223 (Peptidase S26A, signal peptidase I), IPR015927 (Peptidase S24/S26A/S26B/S26C), IPR028360 (Peptidase S24/S26, beta-ribbon domain) GO:0006508 (proteolysis), GO:0008236 (serine-type peptidase activity), GO:0016020 (membrane), GO:0016021 (integral component of membrane)",Niben101Scf18879g00004.1,,3,2,0,2,,3,1,0,1,1,2,4,3,1,2,2,,,2,2,1,,2,1,0,0,2,3,,,1,2,1,0,1,,0,,2,,1,1,1,2,,4,,,,2,2,1,,1,,1,1,,,,1,,1,1,2,4,,3,2,1,2,2
"sp|Q51876|LEP_PHOLA **** Signal peptidase I IPR000223 (Peptidase S26A, signal peptidase I), IPR015927 (Peptidase S24/S26A/S26B/S26C), IPR028360 (Peptidase S24/S26, beta-ribbon domain) GO:0006508 (proteolysis), GO:0008236 (serine-type peptidase activity), GO:0016020 (membrane), GO:0016021 (integral component of membrane)",Niben101Scf06044g00003.1,1,1,1,1,2,2,0,0,,1,1,2,1,1,0,2,1,0,1,1,,1,2,1,2,2,2,2,0,1,2,1,1,1,1,2,1,1,,1,2,1,1,,1,2,2,0,1,1,2,1,1,1,1,1,2,2,2,3,2,2,2,1,1,2,3,2,1,1,1,1,
"sp|Q51876|LEP_PHOLA **** Signal peptidase I IPR000223 (Peptidase S26A, signal peptidase I), IPR015927 (Peptidase S24/S26A/S26B/S26C), IPR028360 (Peptidase S24/S26, beta-ribbon domain) GO:0006508 (proteolysis), GO:0008236 (serine-type peptidase activity), GO:0016020 (membrane), GO:0016021 (integral component of membrane)",Niben101Scf08151g00005.1,1,1,,0,3,,,1,,1,1,1,1,3,2,6,3,,,,1,,2,3,0,,,2,1,,1,,,,3,,1,4,1,2,2,2,1,,,0,1,0,1,2,3,1,1,1,1,1,3,1,3,2,2,3,,1,1,,4,2,,,1,,1
"Cluster of sp|Q42952|NLTP1_TOBAC **** Non-specific lipid-transfer protein 1 IPR000528 (Plant lipid transfer protein/Par allergen), IPR016140 (Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain) GO:0006869 (lipid transport), GO:0008289 (lipid binding) (Niben101Scf13203g00003.1)",Niben101Scf13203g00003.1 [2],11,13,10,10,13,6,8,4,3,10,10,18,8,13,13,12,13,3,8,9,13,15,12,9,11,11,11,11,15,10,12,7,7,11,13,16,11,7,6,9,9,9,16,10,8,7,15,6,10,11,8,7,13,3,6,11,13,8,15,9,13,17,8,14,14,11,9,13,6,5,7,4,6
"    sp|Q42952|NLTP1_TOBAC **** Non-specific lipid-transfer protein 1 IPR000528 (Plant lipid transfer protein/Par allergen), IPR016140 (Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain) GO:0006869 (lipid transport), GO:0008289 (lipid binding)",Niben101Scf13203g00003.1,11,13,10,10,13,6,8,4,3,10,10,18,8,13,13,12,13,3,8,9,13,15,12,9,11,11,11,11,15,10,12,7,7,11,13,16,11,7,6,9,9,9,16,10,8,7,15,6,10,11,8,7,13,3,6,11,13,8,15,9,13,17,8,14,14,11,9,13,6,5,7,4,6
